grid,table_name,item,kind,definition
1,privacy_settings,activity_visibility,text,'inherit'::text
1,privacy_settings,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,privacy_settings,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,profiles,id,uuid NOT NULL,
1,profiles,email,text NOT NULL,
1,profiles,first_name,text,
1,profiles,last_name,text,
1,profiles,nickname,text,
1,profiles,phone,text,
1,profiles,birthday,date,
1,profiles,gender,text,
1,profiles,location,text,
1,profiles,postal_code,text,
1,profiles,user_type,text,'athlete'::text
1,profiles,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,profiles,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,profiles,username,text,
1,profiles,full_name,text,
1,profiles,bio,text,
1,profiles,height_cm,integer,
1,profiles,weight_kg,"numeric(5,2)",
1,profiles,dob,date,
1,profiles,class_year,integer,
1,profiles,social_twitter,text,
1,profiles,social_instagram,text,
1,profiles,social_facebook,text,
1,profiles,avatar_url,text,
1,profiles,weight_unit,text,'lbs'::text
1,profiles,weight_display,"numeric(5,2)",
1,profiles,display_name,text,
1,profiles,sport,text,
1,profiles,school,text,
1,profiles,coach,text,
1,profiles,graduation_year,integer,
1,profiles,gpa,"numeric(3,2)",
1,profiles,sat_score,integer,
1,profiles,act_score,integer,
1,profiles,visibility,text,'public'::text
1,profiles,middle_name,text,
1,profiles,search_vector,tsvector,
1,profiles,handle,text,
1,profiles,handle_updated_at,timestamp with time zone,
1,profiles,handle_change_count,integer,0
1,profiles,messaging_permission,text NOT NULL,'everyone'::text
1,profiles,onboarded_at,timestamp with time zone,
1,profiles,cover_url,text,
1,profiles,supervision_state,text NOT NULL,'self'::text
1,profiles,jurisdiction,text,
1,profiles,minor_threshold_age,smallint,
1,profiles,dob_locked,boolean NOT NULL,false
1,profiles,equipment_prefs,jsonb,
1,profiles,social_tiktok,text,
1,profiles,theme_prefs,jsonb,
1,profiles,comment_moderation,text NOT NULL,'held'::text
1,profiles,place_id,uuid,
1,profiles,city,text,
1,profiles,region,text,
1,profiles,region_code,text,
1,profiles,country,text,
1,profiles,country_code,text,
1,profiles,lat,double precision,
1,profiles,lng,double precision,
1,profiles,location_source,text,
1,profiles,vitals_privacy,jsonb,
1,profiles,deletion_requested_at,timestamp with time zone,
1,profiles,household_policy,jsonb,
1,profiles,recruiting_status,text,'closed'::text
1,profiles,recruiting_profile,jsonb,
1,profiles,scout_affiliation,text,
1,season_highlights,id,uuid NOT NULL,gen_random_uuid()
1,season_highlights,profile_id,uuid NOT NULL,
1,season_highlights,sport_key,text NOT NULL,
1,season_highlights,season,text NOT NULL,
1,season_highlights,metric_a,text,
1,season_highlights,metric_b,text,
1,season_highlights,metric_c,text,
1,season_highlights,rating,numeric,
1,season_highlights,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,season_highlights,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,sports,id,uuid NOT NULL,gen_random_uuid()
1,sports,profile_id,uuid NOT NULL,
1,sports,sport_key,text NOT NULL,
1,sports,active,boolean,true
1,sports,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,sports,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
2,athlete_badges,athlete_badges_pkey,p,PRIMARY KEY (id)
2,athlete_badges,athlete_badges_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,athlete_equipment,athlete_equipment_pkey,p,PRIMARY KEY (id)
2,athlete_equipment,athlete_equipment_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,athlete_equipment,athlete_equipment_status_check,c,"CHECK ((status = ANY (ARRAY['active'::text, 'retired'::text])))"
2,athlete_equipment,equipment_retired_after_acquired,c,CHECK (((retired_on IS NULL) OR (acquired_on IS NULL) OR (retired_on >= acquired_on)))
2,comment_likes,comment_likes_comment_id_fkey,f,FOREIGN KEY (comment_id) REFERENCES post_comments(id) ON DELETE CASCADE
2,comment_likes,comment_likes_comment_id_profile_id_key,u,"UNIQUE (comment_id, profile_id)"
2,comment_likes,comment_likes_pkey,p,PRIMARY KEY (id)
2,comment_likes,comment_likes_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,connection_suggestions,connection_suggestions_pkey,p,PRIMARY KEY (id)
2,connection_suggestions,connection_suggestions_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,connection_suggestions,connection_suggestions_suggested_profile_id_fkey,f,FOREIGN KEY (suggested_profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,connection_suggestions,unique_suggestion,u,"UNIQUE (profile_id, suggested_profile_id)"
2,follows,follows_follower_id_fkey,f,FOREIGN KEY (follower_id) REFERENCES profiles(id) ON DELETE CASCADE
2,follows,follows_follower_id_following_id_key,u,"UNIQUE (follower_id, following_id)"
2,follows,follows_following_id_fkey,f,FOREIGN KEY (following_id) REFERENCES profiles(id) ON DELETE CASCADE
2,follows,follows_pkey,p,PRIMARY KEY (id)
2,follows,follows_status_check,c,"CHECK ((status = ANY (ARRAY['pending'::text, 'accepted'::text, 'rejected'::text])))"
2,golf_rounds,golf_rounds_course_id_fkey,f,FOREIGN KEY (course_id) REFERENCES golf_courses(id) ON DELETE SET NULL
2,golf_rounds,golf_rounds_fir_percentage_check,c,CHECK (((fir_percentage >= (0)::numeric) AND (fir_percentage <= (100)::numeric)))
2,golf_rounds,golf_rounds_gir_percentage_check,c,CHECK (((gir_percentage >= (0)::numeric) AND (gir_percentage <= (100)::numeric)))
2,golf_rounds,golf_rounds_group_post_id_fkey,f,FOREIGN KEY (group_post_id) REFERENCES group_posts(id) ON DELETE SET NULL
2,golf_rounds,golf_rounds_pkey,p,PRIMARY KEY (id)
2,golf_rounds,golf_rounds_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,golf_rounds,golf_rounds_round_type_check,c,"CHECK ((round_type = ANY (ARRAY['outdoor'::text, 'indoor'::text])))"
2,performances,performances_athletic_score_check,c,CHECK (((athletic_score >= (0)::numeric) AND (athletic_score <= (100)::numeric)))
2,performances,performances_pkey,p,PRIMARY KEY (id)
2,performances,performances_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,post_comments,post_comments_created_by_user_id_fkey,f,FOREIGN KEY (created_by_user_id) REFERENCES profiles(id) ON DELETE SET NULL
2,post_comments,post_comments_parent_comment_id_fkey,f,FOREIGN KEY (parent_comment_id) REFERENCES post_comments(id) ON DELETE CASCADE
2,post_comments,post_comments_pkey,p,PRIMARY KEY (id)
2,post_comments,post_comments_post_id_fkey,f,FOREIGN KEY (post_id) REFERENCES posts(id) ON DELETE CASCADE
2,post_comments,post_comments_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,post_comments,post_comments_status_check,c,"CHECK ((status = ANY (ARRAY['published'::text, 'pending_approval'::text, 'rejected'::text, 'changes_requested'::text])))"
2,post_likes,post_likes_pkey,p,PRIMARY KEY (id)
2,post_likes,post_likes_post_id_fkey,f,FOREIGN KEY (post_id) REFERENCES posts(id) ON DELETE CASCADE
2,post_likes,post_likes_post_id_profile_id_key,u,"UNIQUE (post_id, profile_id)"
2,post_likes,post_likes_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,post_media,post_media_media_type_check,c,"CHECK ((media_type = ANY (ARRAY['image'::text, 'video'::text])))"
2,post_media,post_media_pkey,p,PRIMARY KEY (id)
2,post_media,post_media_post_id_fkey,f,FOREIGN KEY (post_id) REFERENCES posts(id) ON DELETE CASCADE
2,posts,check_golf_sources,c,CHECK ((NOT ((round_id IS NOT NULL) AND (group_post_id IS NOT NULL))))
2,posts,posts_contest_id_fkey,f,FOREIGN KEY (contest_id) REFERENCES contests(id) ON DELETE SET NULL
2,posts,posts_created_by_user_id_fkey,f,FOREIGN KEY (created_by_user_id) REFERENCES profiles(id) ON DELETE SET NULL
2,posts,posts_event_id_fkey,f,FOREIGN KEY (event_id) REFERENCES events(id) ON DELETE SET NULL
2,posts,posts_group_post_id_fkey,f,FOREIGN KEY (group_post_id) REFERENCES group_posts(id) ON DELETE SET NULL
2,posts,posts_pkey,p,PRIMARY KEY (id)
2,posts,posts_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,posts,posts_round_id_fkey,f,FOREIGN KEY (round_id) REFERENCES golf_rounds(id) ON DELETE SET NULL
2,posts,posts_shared_post_id_fkey,f,FOREIGN KEY (shared_post_id) REFERENCES posts(id) ON DELETE SET NULL
2,posts,posts_status_check,c,"CHECK ((status = ANY (ARRAY['published'::text, 'pending_approval'::text, 'rejected'::text, 'changes_requested'::text])))"
2,posts,posts_visibility_check,c,"CHECK ((visibility = ANY (ARRAY['public'::text, 'private'::text, 'followers'::text])))"
2,privacy_settings,privacy_settings_activity_visibility_check,c,"CHECK ((activity_visibility = ANY (ARRAY['public'::text, 'private'::text, 'friends'::text, 'inherit'::text])))"
2,privacy_settings,privacy_settings_media_visibility_check,c,"CHECK ((media_visibility = ANY (ARRAY['public'::text, 'private'::text, 'friends'::text, 'inherit'::text])))"
2,privacy_settings,privacy_settings_pkey,p,PRIMARY KEY (id)
2,privacy_settings,privacy_settings_posts_visibility_check,c,"CHECK ((posts_visibility = ANY (ARRAY['public'::text, 'private'::text, 'friends'::text, 'inherit'::text])))"
2,privacy_settings,privacy_settings_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,privacy_settings,privacy_settings_profile_id_key,u,UNIQUE (profile_id)
2,privacy_settings,privacy_settings_profile_visibility_check,c,"CHECK ((profile_visibility = ANY (ARRAY['public'::text, 'private'::text])))"
2,privacy_settings,privacy_settings_stats_visibility_check,c,"CHECK ((stats_visibility = ANY (ARRAY['public'::text, 'private'::text, 'friends'::text, 'inherit'::text])))"
2,profiles,check_display_name_not_empty,c,CHECK (((display_name IS NOT NULL) AND (length(TRIM(BOTH FROM display_name)) > 0)))
2,profiles,profiles_comment_moderation_check,c,"CHECK ((comment_moderation = ANY (ARRAY['instant'::text, 'held'::text])))"
2,profiles,profiles_email_key,u,UNIQUE (email)
2,profiles,profiles_gender_check,c,"CHECK ((gender = ANY (ARRAY['male'::text, 'female'::text, 'custom'::text])))"
2,profiles,profiles_id_fkey,f,FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE
2,profiles,profiles_messaging_permission_check,c,"CHECK ((messaging_permission = ANY (ARRAY['everyone'::text, 'fans_only'::text, 'mutual_fans'::text, 'nobody'::text])))"
2,profiles,profiles_pkey,p,PRIMARY KEY (id)
2,profiles,profiles_place_id_fkey,f,FOREIGN KEY (place_id) REFERENCES places(id) ON DELETE SET NULL
2,profiles,profiles_recruiting_status_check,c,"CHECK ((recruiting_status = ANY (ARRAY['closed'::text, 'open'::text, 'committed'::text])))"
2,profiles,profiles_scout_affiliation_check,c,CHECK (((scout_affiliation IS NULL) OR (char_length(scout_affiliation) <= 120)))
2,profiles,profiles_supervision_state_check,c,"CHECK ((supervision_state = ANY (ARRAY['self'::text, 'supervised'::text])))"
2,profiles,profiles_user_type_check,c,"CHECK ((user_type = ANY (ARRAY['athlete'::text, 'club'::text, 'league'::text, 'fan'::text, 'parent'::text, 'organizer'::text, 'scout'::text])))"
2,profiles,profiles_username_key,u,UNIQUE (username)
2,profiles,profiles_visibility_check,c,"CHECK ((visibility = ANY (ARRAY['public'::text, 'private'::text])))"
2,season_highlights,season_highlights_pkey,p,PRIMARY KEY (id)
2,season_highlights,season_highlights_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,season_highlights,season_highlights_profile_id_sport_key_season_key,u,"UNIQUE (profile_id, sport_key, season)"
2,season_highlights,season_highlights_rating_check,c,CHECK (((rating >= (0)::numeric) AND (rating <= (100)::numeric)))
2,sports,sports_pkey,p,PRIMARY KEY (id)
2,sports,sports_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,sports,sports_profile_id_sport_key_key,u,"UNIQUE (profile_id, sport_key)"
3,athlete_badges,idx_athlete_badges_position,index,"CREATE INDEX idx_athlete_badges_position ON public.athlete_badges USING btree (profile_id, ""position"")"
3,athlete_badges,idx_athlete_badges_profile_id,index,CREATE INDEX idx_athlete_badges_profile_id ON public.athlete_badges USING btree (profile_id)
3,athlete_equipment,idx_equipment_category,index,CREATE INDEX idx_equipment_category ON public.athlete_equipment USING btree (category)
